observableId	simulationConditionId	measurement	time
obs_pRecTot_free	c3	15135.907005903931	1500
obs_pRecTot_free	c3	16440.88084369957	1600
obs_pRecTot_free	c3	15061.127019004687	1700
obs_pAkt308_free	c3	19579.252251858135	0
obs_pAkt308_free	c3	4893.78418776626	100
obs_pAkt308_free	c3	2291.015901286406	200
obs_pAkt308_free	c3	5899.708036698408	300
obs_pAkt308_free	c3	6896.217138221936	400
obs_pAkt308_free	c3	4375.730393753301	500
obs_pAkt308_free	c3	6278.179821060171	600
obs_pAkt308_free	c3	6261.454359535886	700
obs_pAkt308_free	c3	5542.993955858896	800
obs_pAkt308_free	c3	5922.459888816586	900
obs_pAkt308_free	c3	6944.491252584889	1000
obs_pAkt308_free	c3	3446.739718265717	1100
obs_pAkt308_free	c3	5183.9066336692995	1200
obs_pAkt308_free	c3	4207.3789321605	1300
obs_pAkt308_free	c3	1947.0788460271938	1400
obs_pAkt308_free	c3	2629.6989960802093	1500
obs_pAkt308_free	c3	6533.662811016756	1600
obs_pAkt308_free	c3	5072.724207337104	1700
obs_pRPS6K_free	c3	57557.00502904788	0
obs_pRPS6K_free	c3	67527.50825941008	100
obs_pRPS6K_free	c3	39056.46265319994	200
obs_pRPS6K_free	c3	43896.6386623919	300
obs_pRPS6K_free	c3	26323.464833648293	400
obs_pRPS6K_free	c3	34883.0101533044	500
obs_pRPS6K_free	c3	31159.895582939822	600
obs_pRPS6K_free	c3	25842.89137892248	700
obs_pRPS6K_free	c3	29589.332942585937	800
obs_pRPS6K_free	c3	17745.31238938804	900
obs_pRPS6K_free	c3	25267.047072557187	1000
obs_pRPS6K_free	c3	21508.522007317493	1100
obs_pRPS6K_free	c3	21256.925305708686	1200
obs_pRPS6K_free	c3	16607.25276330204	1300
obs_pRPS6K_free	c3	18350.812997320063	1400
obs_pRPS6K_free	c3	15248.355052348219	1500
obs_pRPS6K_free	c3	17860.3005910886	1600
obs_pRPS6K_free	c3	18359.62462264542	1700
obs_pERK_free	c3	14595.391308867915	0
obs_pERK_free	c3	14186.522523864995	100
obs_pERK_free	c3	14817.736687130195	200
obs_pERK_free	c3	8887.156598221169	300
obs_pERK_free	c3	9643.120408928358	400
obs_pERK_free	c3	9452.758808095716	500
obs_pERK_free	c3	7788.565926975664	600
obs_pERK_free	c3	9564.316206491718	700
obs_pERK_free	c3	7904.959490843305	800
obs_pERK_free	c3	7161.686196545459	900
obs_pERK_free	c3	5640.343710512327	1000
obs_pERK_free	c3	4579.90721993765	1100
obs_pERK_free	c3	3747.62330398577	1200
obs_pERK_free	c3	9181.082505100429	1300
obs_pERK_free	c3	6508.17853038361	1400
obs_pERK_free	c3	3795.9679999661985	1500
obs_pERK_free	c3	8225.314837110906	1600
obs_pERK_free	c3	8196.553539317669	1700
obs_pRecTot_free	c4	14059.73984816724	0
obs_pRecTot_free	c4	13298.453337371251	100
obs_pRecTot_free	c4	14236.503338734676	200
obs_pRecTot_free	c4	9950.205368764939	300
obs_pRecTot_free	c4	9952.75152514871	400
obs_pRecTot_free	c4	10912.695707393148	500
obs_pRecTot_free	c4	12322.491386613829	600
obs_pRecTot_free	c4	16097.249856666049	700
obs_pRecTot_free	c4	17697.600335256437	800
obs_pRecTot_free	c4	14990.660456674606	900
obs_pRecTot_free	c4	11920.171054101265	1000
obs_pRecTot_free	c4	9530.00402420365	1100
obs_pRecTot_free	c4	14743.56344103723	1200
obs_pRecTot_free	c4	9696.81495770481	1300
obs_pRecTot_free	c4	13303.36130341818	1400
obs_pRecTot_free	c4	13853.724060991854	1500
obs_pRecTot_free	c4	17387.918120981194	1600
obs_pRecTot_free	c4	11931.43422482484	1700
obs_pAkt308_free	c4	13210.69134044681	0
obs_pAkt308_free	c4	2932.408598127548	100
obs_pAkt308_free	c4	5357.327822592893	200
obs_pAkt308_free	c4	3776.9726328028	300
obs_pAkt308_free	c4	4248.925618478493	400
obs_pAkt308_free	c4	3461.2452585479014	500
obs_pAkt308_free	c4	6789.677439469345	600
obs_pAkt308_free	c4	6123.608180304977	700
obs_pAkt308_free	c4	3712.810471866219	800
obs_pAkt308_free	c4	5529.186512646197	900
obs_pAkt308_free	c4	4684.221936944254	1000
obs_pAkt308_free	c4	4462.027368798165	1100
obs_pAkt308_free	c4	6162.493745570292	1200
obs_pAkt308_free	c4	7473.269524870686	1300
obs_pAkt308_free	c4	6219.3146529491405	1400
obs_pAkt308_free	c4	6743.238045106602	1500
obs_pAkt308_free	c4	7271.448238118418	1600
obs_pAkt308_free	c4	2167.9202640179606	1700
obs_pRPS6K_free	c4	57111.81565992089	0
obs_pRPS6K_free	c4	59687.84402457043	100
obs_pRPS6K_free	c4	45347.15681335416	200
obs_pRPS6K_free	c4	37879.23293120324	300
obs_pRPS6K_free	c4	33837.48967423341	400
obs_pRPS6K_free	c4	24334.815882462783	500
obs_pRPS6K_free	c4	23761.817118917468	600
obs_pRPS6K_free	c4	31457.49059396265	700
obs_pRPS6K_free	c4	26396.608532099828	800
obs_pRPS6K_free	c4	21390.33032641651	900
obs_pRPS6K_free	c4	20628.89858009924	1000
obs_pRPS6K_free	c4	16853.42211906243	1100
obs_pRPS6K_free	c4	15252.45340312965	1200
obs_pRPS6K_free	c4	22281.302439745097	1300
obs_pRPS6K_free	c4	17328.576840607875	1400
obs_pRPS6K_free	c4	22614.81035404576	1500
obs_pRPS6K_free	c4	20393.10964443408	1600
obs_pRPS6K_free	c4	19246.10332175853	1700
obs_pERK_free	c4	10294.268659756865	0
obs_pERK_free	c4	11112.849581196126	100
obs_pERK_free	c4	10522.756792839382	200
obs_pERK_free	c4	10241.46221307856	300
obs_pERK_free	c4	7662.089959301848	400
obs_pERK_free	c4	9598.350667124949	500
obs_pERK_free	c4	8270.946702835568	600
obs_pERK_free	c4	4301.187159627683	700
obs_pERK_free	c4	8843.545710710889	800
obs_pERK_free	c4	6092.9146202760685	900
obs_pERK_free	c4	10532.216922261807	1000
obs_pERK_free	c4	6602.024432231423	1100
obs_pERK_free	c4	8646.011100545482	1200
obs_pERK_free	c4	7321.261376292933	1300
obs_pERK_free	c4	6546.141566508639	1400
obs_pERK_free	c4	7969.877830098534	1500
obs_pERK_free	c4	9477.926053425435	1600
obs_pERK_free	c4	5633.524621605144	1700
