observableId	simulationConditionId	measurement	time
obs_pRecTot_free	c1	13068.63157895517	0
obs_pRecTot_free	c1	26568.156672192963	100
obs_pRecTot_free	c1	22341.26521849238	200
obs_pRecTot_free	c1	29411.862387982652	300
obs_pRecTot_free	c1	29480.349916001844	400
obs_pRecTot_free	c1	26570.058565688836	500
obs_pRecTot_free	c1	24097.29704012489	600
obs_pRecTot_free	c1	26298.963255072187	700
obs_pRecTot_free	c1	20186.39994743777	800
obs_pRecTot_free	c1	25097.03462899856	900
obs_pRecTot_free	c1	25064.50872434648	1000
obs_pRecTot_free	c1	23365.718914133027	1100
obs_pRecTot_free	c1	19347.152641724864	1200
obs_pRecTot_free	c1	16758.411190208393	1300
obs_pRecTot_free	c1	14942.931556712143	1400
obs_pRecTot_free	c1	15392.514984691834	1500
obs_pRecTot_free	c1	16050.228537744864	1600
obs_pRecTot_free	c1	17550.4962128916	1700
obs_pAkt308_free	c1	15675.986557362587	0
obs_pAkt308_free	c1	25694.2944209813	100
obs_pAkt308_free	c1	18943.2090503913	200
obs_pAkt308_free	c1	25737.59521995797	300
obs_pAkt308_free	c1	12626.97837632348	400
obs_pAkt308_free	c1	17368.757322363	500
obs_pAkt308_free	c1	14460.994490758878	600
obs_pAkt308_free	c1	21537.877696866835	700
obs_pAkt308_free	c1	17928.700051278247	800
obs_pAkt308_free	c1	20490.934683933563	900
obs_pAkt308_free	c1	14190.002843108428	1000
obs_pAkt308_free	c1	17628.924235531595	1100
obs_pAkt308_free	c1	10221.098560310129	1200
obs_pAkt308_free	c1	12583.217871995286	1300
obs_pAkt308_free	c1	15532.338214613925	1400
obs_pAkt308_free	c1	13757.98513021481	1500
obs_pAkt308_free	c1	14105.913465773978	1600
obs_pAkt308_free	c1	12805.317115283302	1700
obs_pRPS6K_free	c1	69956.45525722957	0
obs_pRPS6K_free	c1	62143.76415389783	100
obs_pRPS6K_free	c1	56504.95456620239	200
obs_pRPS6K_free	c1	59940.84461783325	300
obs_pRPS6K_free	c1	65941.29625362993	400
obs_pRPS6K_free	c1	58345.34779925472	500
obs_pRPS6K_free	c1	55371.38640471935	600
obs_pRPS6K_free	c1	56109.142670335124	700
obs_pRPS6K_free	c1	65473.578704499094	800
obs_pRPS6K_free	c1	57018.966598768035	900
obs_pRPS6K_free	c1	61559.397008843254	1000
obs_pRPS6K_free	c1	53869.89941425543	1100
obs_pRPS6K_free	c1	66766.04928061532	1200
obs_pRPS6K_free	c1	71581.08380177566	1300
obs_pRPS6K_free	c1	59861.00456044528	1400
obs_pRPS6K_free	c1	58205.11988590295	1500
obs_pRPS6K_free	c1	55691.978537038856	1600
obs_pRPS6K_free	c1	65692.34234065934	1700
obs_pERK_free	c1	14885.174170264349	0
obs_pERK_free	c1	10988.88110935536	100
obs_pERK_free	c1	11065.07265199615	200
obs_pERK_free	c1	13624.922577551279	300
obs_pERK_free	c1	9920.64345522015	400
obs_pERK_free	c1	8367.839363392555	500
obs_pERK_free	c1	13933.06212120146	600
obs_pERK_free	c1	8857.976267076503	700
obs_pERK_free	c1	7316.66847090568	800
obs_pERK_free	c1	5237.571043914493	900
obs_pERK_free	c1	7635.60441687043	1000
obs_pERK_free	c1	9159.094051940028	1100
obs_pERK_free	c1	7564.75554114669	1200
obs_pERK_free	c1	6305.190824503083	1300
obs_pERK_free	c1	10580.483099328436	1400
obs_pERK_free	c1	6169.786902881221	1500
obs_pERK_free	c1	5604.418032185472	1600
obs_pERK_free	c1	9773.147179780202	1700
obs_pRecTot_free	c2	10956.979385543069	0
obs_pRecTot_free	c2	15166.675388257692	100
obs_pRecTot_free	c2	15757.080129148491	200
obs_pRecTot_free	c2	8936.38373155141	300
obs_pRecTot_free	c2	17470.835836565955	400
obs_pRecTot_free	c2	14265.814947933184	500
obs_pRecTot_free	c2	12330.511016350729	600
obs_pRecTot_free	c2	10577.76920166297	700
obs_pRecTot_free	c2	15801.633905758506	800
obs_pRecTot_free	c2	12624.88611742474	900
obs_pRecTot_free	c2	11448.924914465026	1000
obs_pRecTot_free	c2	10597.14644222699	1100
obs_pRecTot_free	c2	10866.718839765766	1200
obs_pRecTot_free	c2	9849.812049019298	1300
obs_pRecTot_free	c2	10719.366669111136	1400
obs_pRecTot_free	c2	16005.075541735347	1500
obs_pRecTot_free	c2	14571.959025439317	1600
obs_pRecTot_free	c2	9935.55994805175	1700
obs_pAkt308_free	c2	16521.623640062262	0
obs_pAkt308_free	c2	18091.119694614325	100
obs_pAkt308_free	c2	15233.601729344062	200
obs_pAkt308_free	c2	14089.23875638091	300
obs_pAkt308_free	c2	13026.546250417616	400
obs_pAkt308_free	c2	14327.861102617162	500
obs_pAkt308_free	c2	21300.956425119737	600
obs_pAkt308_free	c2	15167.368799051788	700
obs_pAkt308_free	c2	20551.085235364517	800
obs_pAkt308_free	c2	21625.555919554587	900
obs_pAkt308_free	c2	16445.27759083274	1000
obs_pAkt308_free	c2	19621.613195829515	1100
obs_pAkt308_free	c2	18588.336478370362	1200
obs_pAkt308_free	c2	17914.392064806343	1300
obs_pAkt308_free	c2	16383.631197656725	1400
obs_pAkt308_free	c2	18895.84327255811	1500
obs_pAkt308_free	c2	19079.44313216446	1600
obs_pAkt308_free	c2	15083.412673496461	1700
obs_pRPS6K_free	c2	52507.11203208574	0
obs_pRPS6K_free	c2	62011.12446791749	100
obs_pRPS6K_free	c2	60741.03450390006	200
obs_pRPS6K_free	c2	67676.28857917352	300
obs_pRPS6K_free	c2	52883.66477250235	400
obs_pRPS6K_free	c2	70794.12555549656	500
obs_pRPS6K_free	c2	71019.87206326182	600
obs_pRPS6K_free	c2	63894.90707706866	700
obs_pRPS6K_free	c2	66555.41677657506	800
obs_pRPS6K_free	c2	53834.336192103285	900
obs_pRPS6K_free	c2	60867.51104972293	1000
obs_pRPS6K_free	c2	62226.558546894594	1100
obs_pRPS6K_free	c2	59804.699951819144	1200
obs_pRPS6K_free	c2	69674.77427117564	1300
obs_pRPS6K_free	c2	65292.07922507844	1400
obs_pRPS6K_free	c2	66359.72039551937	1500
obs_pRPS6K_free	c2	79021.9628053567	1600
obs_pRPS6K_free	c2	52645.80715089013	1700
obs_pERK_free	c2	14392.947023298228	0
obs_pERK_free	c2	11124.458736676934	100
obs_pERK_free	c2	14632.832404326531	200
obs_pERK_free	c2	10025.013476459751	300
obs_pERK_free	c2	10309.020795931861	400
obs_pERK_free	c2	11727.738261331442	500
obs_pERK_free	c2	6788.724579803569	600
obs_pERK_free	c2	8569.025221199614	700
obs_pERK_free	c2	10529.427203827083	800
obs_pERK_free	c2	7703.421091505821	900
obs_pERK_free	c2	7952.146796929973	1000
obs_pERK_free	c2	12082.730202404695	1100
obs_pERK_free	c2	7473.684299907844	1200
obs_pERK_free	c2	6015.582674527423	1300
obs_pERK_free	c2	5653.672277615367	1400
obs_pERK_free	c2	6188.744880078857	1500
obs_pERK_free	c2	6528.591824488511	1600
obs_pERK_free	c2	7994.984005321896	1700
obs_pRecTot_free	c3	11828.389546936913	0
obs_pRecTot_free	c3	26044.76276111015	100
obs_pRecTot_free	c3	27247.487403101077	200
obs_pRecTot_free	c3	31069.876144967217	300
obs_pRecTot_free	c3	25636.13931270902	400
obs_pRecTot_free	c3	28681.425896478515	500
obs_pRecTot_free	c3	26925.992641210058	600
obs_pRecTot_free	c3	21432.39242631825	700
obs_pRecTot_free	c3	24688.308925539295	800
obs_pRecTot_free	c3	17853.360527585653	900
obs_pRecTot_free	c3	23314.641844125304	1000
obs_pRecTot_free	c3	18145.369935777733	1100
obs_pRecTot_free	c3	15320.297474026698	1200
obs_pRecTot_free	c3	15016.579980472608	1300
obs_pRecTot_free	c3	16447.225280256043	1400
